丿	drop (の)
氏	family name (うじ)
气	spirit (きがまえ)
水	water (みず、さんずい)
火	fire (ひ、れんが、れっか)
爪	claw, vulture (つめ)
父	father (ちち)
爻	two sheaves (めめ)
爿, alt. 丬	turtle (しょうへん)
片	one-sided (かた、へん)
牙	tusk (きば)
牛	cow (うし)
犬	dog, chihuahua, pack of wild dogs (いぬ、けものへん)
玄	mysterious (げん)
玉	jewel, ball (たま)
瓜	melon (うり)
瓦	tile (かわら)
甘	sweet, wicker basket (あまい)
生	life, cell (なま、うまれる)
用	utilize, screwdriver (もちいる)
疋	critters, zoo (ひき)
疒	sickness (やまいだれ)
癶	teepee (はつがしら)
白	white, white bird, white dove (しろ)
皮	pelt (けがわ)
皿	dish (さら)
矛	halberd (ほこ、ほこへん)
矢	dart (や、やへん)
石	stone, rock (いし)
示	show, altar (しめす、ねへん)
禸	belt + elbow (ぐう、ぐうのあし)
禾	wheat (のぎ)
穴	hole (あな、あなかんむり)
立	stand up, vase (たつ、たつへん)
竹	bamboo (たけ)
米	rice (こめ)
糸	thread (いと)
缶	tin can (ほとぎ)
网, alt. 罒	eye, net (よこめ、あみがしら)
羊	sheep (ひつじ)
羽	feathers (はね)
老	old man (おいかんむり)
而	and then, comb (しかして)
耒	christmas tree (らいすき)
耳	ear (みみ)
聿	brush (ふで)
肉	meat, flesh, part of the body (にく)
臣	retainer, slave (しん、おみ)
自	nose (みずから)
至	climax (いたる)
臼	mortar (うす)
舌	tongue (した、したへん)
舛	sunglasses (まいあし)
舟	boat (ふねへん)
艮	silver (うしとら、こん、ねづくり)
色	color (いろ)
艸, alt. 艹	flower (くさ、くさかんむり)
虍	tiger (とら)
虫	insect (むし)
血	blood (ち)
行	going, boulevard (ぎょうがまえ)
衣	garment, clothes, top hat and scarf (ころも)
西	west, old west (にし)
見	see (みる)
角	angle (つの)
言	say, words (ことば、ごんべん)
谷	valley (たに)
豆	beans, table (まめ)
豕	sow (ぶた、いのこ)
豸	skunk, badger (むじな)
赤	red (あか)
走	run (はしる)
足	leg, wooden leg (あしへん)
身	somebody (みへん)
車	car (くるま)
辛	spicy, red pepper (からい)
辰	sign of the dragon (しんのたつ)
辵, alt. ⻌	road, way (しんにょう、しんにゅう)
邑, alt. 阝	city walls (おおざと、むら)
酉	sign of the bird, whiskey bottle (とりへん、ひよみのとり)
釆	animal tracks (のごめ)
里	ri, computer (さと)
金	gold, metal (かね)
長	long, hair (ながい)
門	gates (もんがまえ、かど)
阜, alt. 阝	large hill, pinnacle, acropolis (こざと、ぎふのふ)
隶	sieve (れいづくり)
隹	turkey (ふるとり)
雨	rain, weather (あめかんむり)
青	blue (あお)
非	un-, jail cell (あらず)
面	mask (めん、つら)
革	leather (かわへん)
韋	locket (なめしがわ)
韭	green onion (にら)
音	sound (おと)
頁	page, head (おおがい、ページ)
風	wind (かぜ)
飛	fly (とぶ)
食	eat, food (しょくへん)
首	neck (くび)
香	incense (においこう、かおり)
馬	horse, team of horses (うま)
骨	skeleton (ほねへん)
高	tall (たかい、たか)
髟	hair + shape (かみかんむり)
鬥	not in RTK (とうがまえ)
鬯	not in RTK (ちょう)
鬲	ceiling + mouth + hood + human legs + spike (かなえ)
鬼	ghost (おに)
魚	fish (さかな、うお)
鳥	bird (とり)
鹵	rocksalt (ろ、しおち)
鹿	deer (しか)
麦	barley (むぎ)
麻	hemp (あさかんむり)
黄	yellow (きいろ)
黍	millet (きび)
黒	black (くろ)
黹	not in RTK (ふつ)
黽	eels (old form) (べん、おおがえる)
鼎	tripod (かなえ)
鼓	drum (つづみ)
鼠	mouse (ねずみ)
鼻	nose (はなへん)
齊, alt. 斉	adjusted, adjust (せい、ひとしい)
齒, alt. 歯	tooth, teeth (はへん)
龍	dragon (old) (たつ、りゅう、ろう)
龜, alt. 亀	tortoise (かめ)
龠	not in RTK (ふえ、やく)
